Open,High,Low,Close,Volume
1160.0,1160.0,1110.0,1160.0,123939445.0
1140.0,1140.0,1120.0,1120.0,88916489.0
1151.0,1151.0,1065.0,1151.0,67372643.0
1145.0,1145.0,1088.0,1088.0,128054421.0
1182.0,1182.0,1129.0,1182.0,164846274.0
1186.0,1186.0,1126.0,1126.0,114486768.0
1194.0,1194.0,1165.0,1194.0,157180837.0
1205.0,1205.0,1110.0,1110.0,331703579.0
1139.0,1139.0,1109.0,1139.0,144104020.0
1110.0,1110.0,1095.0,1095.0,119452296.0
1172.0,1172.0,1100.0,1172.0,94216582.0
1180.0,1180.0,1112.0,1112.0,73337832.0
1180.0,1180.0,1115.0,1180.0,89260230.0
1140.0,1140.0,1117.0,1117.0,61044047.0
1147.0,1147.0,1130.0,1147.0,55436935.0
1150.0,1150.0,1081.0,1081.0,89886785.0
1182.0,1182.0,1120.0,1182.0,76129051.0
1134.0,1134.0,1095.0,1095.0,203939412.0
1112.0,1112.0,1042.0,1112.0,84901592.0
1104.0,1104.0,1086.0,1086.0,83523572.0
1118.0,1118.0,1095.0,1118.0,100390256.0
1136.0,1136.0,1102.0,1102.0,102321107.0
1130.0,1130.0,1080.0,1130.0,168109683.0
1130.0,1130.0,1100.0,1100.0,140476169.0
1108.0,1108.0,1048.0,1108.0,261693768.0
1400.0,1400.0,1380.0,1380.0,530177990.0
1395.0,1395.0,1360.0,1395.0,243416028.0
1450.0,1450.0,1381.0,1381.0,404921356.0
1550.0,1550.0,1403.0,1550.0,614965941.0
1489.0,1489.0,1400.0,1400.0,279179932.0
1354.0,1354.0,1292.0,1354.0,65191252.0
1236.0,1236.0,1160.0,1160.0,317629142.0
1246.0,1246.0,1175.0,1246.0,392321090.0
1255.0,1255.0,1228.0,1228.0,126238866.0
1254.0,1254.0,1200.0,1254.0,184859975.0
1293.0,1293.0,1202.0,1202.0,200111684.0
1248.0,1248.0,1160.0,1248.0,327906859.0
1165.0,1165.0,1064.0,1064.0,126540741.0
1127.0,1127.0,1094.0,1127.0,96928167.0
